case_id,product_name,platform,workflow,caption,relevance_score_human,platform_fit_score_human,clarity_score_human,persuasiveness_score_human,brand_voice_score_human,safety_score_human,time_to_first_draft_seconds,revisions_needed,evaluator_notes
case_01_glownest_launch,GlowNest Vitamin C Serum,Instagram,baseline_manual,Start your day with GlowNest Vitamin C Serum for brighter-looking skin and lightweight hydration. Shop now.,,,,,,,,,
case_01_glownest_launch,GlowNest Vitamin C Serum,Instagram,app_recommended,Your AM routine just got an upgrade. ✨ GlowNest Vitamin C Serum delivers lightweight hydration & that perfect morning glow. Shop now.,,,,,,,,,
case_02_clearpatch_finals,ClearPatch Overnight Acne Patches,TikTok,baseline_manual,"Late nights, early classes, and ClearPatch by your side. Easy overnight spot coverage when you need a low-effort reset. Tap to shop.",,,,,,,,,
case_02_clearpatch_finals,ClearPatch Overnight Acne Patches,TikTok,app_recommended,"Exam week stressing you out? ClearPatch has your back (or face!) overnight. Low effort, high chill. Tap to shop.",,,,,,,,,
case_03_softshield_spf,SoftShield SPF Mist,Instagram,baseline_manual,"For commutes, errands, and weekends outside, SoftShield SPF Mist keeps reapplication easy without the heavy feel. Learn more.",,,,,,,,,
case_03_softshield_spf,SoftShield SPF Mist,Instagram,app_recommended,"SPF reapply, but make it *easy*. SoftShield Mist for your daily glow-up. Lightweight, fresh. Learn more.",,,,,,,,,
case_04_cloudcalm_moisture,CloudCalm Moisture Cream,Instagram,baseline_manual,"When skin feels stressed, CloudCalm Moisture Cream adds a gentle layer of comfort without overcomplicating your routine. Discover more.",,,,,,,,,
case_04_cloudcalm_moisture,CloudCalm Moisture Cream,Instagram,app_recommended,"Give your sensitive skin the gentle comfort it deserves. CloudCalm Moisture Cream provides soothing hydration, making your nightly routine a moment of peace. Discover more.",,,,,,,,,
case_05_moonsilk_night,MoonSilk Night Cream,Instagram,baseline_manual,MoonSilk Night Cream turns your evening routine into a more luxurious ritual with rich overnight nourishment. Shop now.,,,,,,,,,
case_05_moonsilk_night,MoonSilk Night Cream,Instagram,app_recommended,Your evening reset just got an upgrade. MoonSilk Night Cream: luxurious nourishment for skin that feels smoother by morning. #NightRitual. Shop now.,,,,,,,,,
case_06_dewdrop_retinol,DewDrop Retinol Serum,Instagram,baseline_manual,New to retinol? DewDrop Retinol Serum is formulated gently for beginners who want smoother-feeling skin without the guesswork. Shop now.,,,,,,,,,
case_06_dewdrop_retinol,DewDrop Retinol Serum,Instagram,app_recommended,"First-time retinol? DewDrop Retinol Serum is your gentle, overnight dream for smoother-looking skin. No drama, just glow. ✨ Shop now.",,,,,,,,,
case_07_freshmist_toner,FreshMist Hydrating Toner Mist,TikTok,baseline_manual,"Layer it, spray it, refresh it. FreshMist Toner Mist works with any skincare routine for an on-the-go hydration hit. Grab yours.",,,,,,,,,
case_07_freshmist_toner,FreshMist Hydrating Toner Mist,TikTok,app_recommended,POV: Your routine just got a major glow-up. FreshMist for that instant refresh & perfect layer. ✨ Grab yours!,,,,,,,,,
case_08_velveteye_cream,VelvetEye Brightening Eye Cream,Instagram,baseline_manual,Start your morning with VelvetEye — a gentle brightening formula that helps your eyes look as rested as you feel. Shop now.,,,,,,,,,
case_08_velveteye_cream,VelvetEye Brightening Eye Cream,Instagram,app_recommended,"Crafted for your busy mornings. VelvetEye's gentle formula helps reduce the look of puffiness, giving your under-eyes a polished, refreshed start. Shop now.",,,,,,,,,
case_09_glowave_mask,GloWave Brightening Glow Mask,TikTok,baseline_manual,It's mask day. GloWave Brightening Glow Mask brings a bold glow ritual to your weekly self-care lineup. Tap to shop.,,,,,,,,,
case_09_glowave_mask,GloWave Brightening Glow Mask,TikTok,app_recommended,Weekend glow-up loading... GloWave mask for that weekly boost. ✨ Get yours! Tap to shop.,,,,,,,,,
case_10_softcloud_body,SoftCloud Nourishing Body Lotion,Instagram,baseline_manual,"Make your daily routine feel better. SoftCloud Body Lotion is lightweight, non-greasy, and made for everyday softness. Shop now.",,,,,,,,,
case_10_softcloud_body,SoftCloud Nourishing Body Lotion,Instagram,app_recommended,"Experience everyday luxury. SoftCloud Nourishing Body Lotion offers a refined, non-greasy touch for beautifully soft skin, day to night. Shop now.",,,,,,,,,
